"raw_text","Background Characteristic","Data","BCG","DPT 1","DPT 2","DPT 3+","Polio 0","Polio 1","Polio 2","Polio 3+","Measles","Fully-immunized","Yellow fever","None","Percentage with a vaccination card","Percentage who received vitamin A in the last 6 months","Number of children","page_number"
"Child's sex","Child's sex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
"  Male                    87.2    89.6     81.9   72.0    41.0    91.6     85.3     71.4     72.7 62.4  59.6      7.2   74.3      27.0       322","  Male","87.2    89.6     81.9   72.0    41.0    91.6     85.3     71.4     72.7 62.4  59.6      7.2   74.3      27.0       322","87.2","89.6","81.9","72.0","41.0","91.6","85.3","71.4","72.7","62.4","59.6","7.2","74.3","27.0","322",121
"  Female                  88.5    89.1     83.5   72.4    42.0    91.9     86.3     71.7     72.6 61.7  59.6      7.0   77.7      23.4       322","  Female","88.5    89.1     83.5   72.4    42.0    91.9     86.3     71.7     72.6 61.7  59.6      7.0   77.7      23.4       322","88.5","89.1","83.5","72.4","42.0","91.9","86.3","71.7","72.6","61.7","59.6","7.0","77.7","23.4","322",121
"Birth order","Birth order",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
"  1                       89.9    90.5     85.3   78.4    44.3    92.1     86.7     78.1     76.7 68.8  65.1      6.2   78.9      23.8       165","  1","89.9    90.5     85.3   78.4    44.3    92.1     86.7     78.1     76.7 68.8  65.1      6.2   78.9      23.8       165","89.9","90.5","85.3","78.4","44.3","92.1","86.7","78.1","76.7","68.8","65.1","6.2","78.9","23.8","165",121
"  2-3                     90.9    93.2     88.2   79.2    43.0    95.7     91.2     76.4     76.4 66.6  63.2      4.3   79.3      26.9       228","  2-3","90.9    93.2     88.2   79.2    43.0    95.7     91.2     76.4     76.4 66.6  63.2      4.3   79.3      26.9       228","90.9","93.2","88.2","79.2","43.0","95.7","91.2","76.4","76.4","66.6","63.2","4.3","79.3","26.9","228",121
"  4-5                     87.1    88.8     80.5   67.3    40.0    89.9     82.9     66.6     70.0 57.0  55.6      8.3   69.8      23.1       126","  4-5","87.1    88.8     80.5   67.3    40.0    89.9     82.9     66.6     70.0 57.0  55.6      8.3   69.8      23.1       126","87.1","88.8","80.5","67.3","40.0","89.9","82.9","66.6","70.0","57.0","55.6","8.3","69.8","23.1","126",121
"  6+                      80.3    81.5     71.5   56.2    36.3    85.8     77.6     59.1     63.1 49.8  49.7    12.3    72.5      26.0       125","  6+","80.3    81.5     71.5   56.2    36.3    85.8     77.6     59.1     63.1 49.8  49.7    12.3    72.5      26.0       125","80.3","81.5","71.5","56.2","36.3","85.8","77.6","59.1","63.1","49.8","49.7","12.3","72.5","26.0","125",121
"Residence","Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
"  Urban                   93.4    93.9     89.5   83.7    60.3    96.3     91.6     81.8     81.5 72.3  70.4      3.7   78.5      19.8       180","  Urban","93.4    93.9     89.5   83.7    60.3    96.3     91.6     81.8     81.5 72.3  70.4      3.7   78.5      19.8       180","93.4","93.9","89.5","83.7","60.3","96.3","91.6","81.8","81.5","72.3","70.4","3.7","78.5","19.8","180",121
